participant_id,age,gender,education_level,major_category,current_gpa,study_hours_weekly,preferred_study_method,tech_comfort,ai_trust_level,data_sharing_comfort,prediction_usefulness,recommendation_preference,dashboard_complexity,notification_frequency,feature_priority_performance_tracking,feature_priority_study_recommendations,feature_priority_peer_comparison,feature_priority_goal_setting,feature_priority_progress_visualization,privacy_concern_level,open_feedback
P045,20,Female,Senior,STEM,3.15,18,Reading-Writing,4,2,4,5,Summary,Moderate,Weekly,1,3,3,5,4,5,An AI study tool should be transparent about how it makes predictions so I can trust its recommendations for my coursework.
P046,20,Male,Freshman,STEM,3.03,37,Visual,5,5,3,6,Visual,Detailed,Weekly,3,4,2,3,4,4,An AI study tool should be transparent about how it makes predictions so I can trust its recommendations for my coursework.
P047,20,Male,Freshman,Arts,3.4,7,Visual,3,4,3,5,Notification,Simple,Weekly,4,2,1,3,3,4,I would appreciate a feature that breaks down large assignments into smaller tasks and helps me track completion over several weeks.
P048,25,Male,Senior,Business,3.92,10,Reading-Writing,3,3,5,7,Detailed,Moderate,Weekly,5,4,1,3,5,4,A good study AI should recognize when I am burned out and suggest breaks or lighter study sessions instead of pushing me harder.
P049,18,Male,Graduate,Arts,3.26,1,Reading-Writing,5,6,3,5,Detailed,Moderate,Daily,4,4,2,5,3,4,I am concerned about data privacy but I would use an AI study tool if it gave me full control over what data is collected and stored.
P050,25,Male,Graduate,Arts,3.37,3,Kinesthetic,5,4,2,6,Summary,Simple,Daily,4,3,4,2,4,5,An AI study assistant should provide actionable feedback not just tell me my grade is low but explain specifically what I can improve.
P051,21,Female,Senior,Social Sciences,3.13,11,Reading-Writing,5,2,4,6,Summary,Moderate,Daily,4,4,2,3,4,6,A weekly summary email showing my study patterns and upcoming tasks would be really helpful for staying organized throughout the semester.
P052,19,Female,Senior,Social Sciences,3.34,1,Auditory,6,2,4,4,Summary,Moderate,Daily,4,5,4,4,5,4,A study AI should understand different learning styles and adapt its recommendations accordingly rather than giving generic advice to everyone.
P053,19,Male,Freshman,STEM,3.0,1,Visual,5,3,5,5,Summary,Detailed,Never,3,3,3,5,4,6,An ideal study tool would integrate with my existing apps like Google Calendar and my university LMS to reduce the friction of using it.
P054,20,Male,Junior,STEM,3.35,4,Reading-Writing,4,5,4,5,Notification,Detailed,Weekly,4,5,2,5,4,5,I am concerned about data privacy but I would use an AI study tool if it gave me full control over what data is collected and stored.
P055,18,Male,Senior,Business,3.6,8,Visual,5,6,4,5,Summary,Detailed,Daily,4,5,3,3,4,4,I think gamification elements like streaks and badges could make studying more engaging but they should not feel childish or forced.
P056,24,Female,Freshman,Social Sciences,3.78,3,Auditory,5,4,3,6,Visual,Detailed,Before_Exams,5,5,4,5,5,6,I am concerned about data privacy but I would use an AI study tool if it gave me full control over what data is collected and stored.
P057,25,Female,Freshman,STEM,3.58,10,Reading-Writing,7,3,1,4,Notification,Moderate,Weekly,4,3,2,3,4,4,An AI study tool should be transparent about how it makes predictions so I can trust its recommendations for my coursework.
P058,25,Female,Sophomore,Business,3.39,2,Kinesthetic,3,5,3,6,Detailed,Moderate,Weekly,3,4,3,2,5,5,An AI study assistant should provide actionable feedback not just tell me my grade is low but explain specifically what I can improve.
P059,20,Male,Graduate,Social Sciences,3.99,6,Kinesthetic,6,6,5,5,Notification,Moderate,Daily,3,4,2,4,3,5,I really need help with time management and would love an AI that can suggest optimal study schedules based on my upcoming deadlines.
P060,23,Male,Freshman,STEM,3.18,6,Reading-Writing,3,2,4,4,Visual,Detailed,Daily,4,4,2,2,4,5,A good study AI should recognize when I am burned out and suggest breaks or lighter study sessions instead of pushing me harder.
P061,22,Male,Sophomore,Social Sciences,3.13,5,Reading-Writing,2,3,5,5,Detailed,Detailed,Daily,3,5,1,5,4,4,I would use a study tool daily if it had a clean simple interface that does not overwhelm me with too many options or data points.
P062,24,Female,Freshman,STEM,2.47,5,Visual,3,5,4,4,Summary,Moderate,Daily,3,1,4,5,4,6,I would use a study tool daily if it had a clean simple interface that does not overwhelm me with too many options or data points.
P063,23,Female,Senior,Social Sciences,3.33,9,Visual,6,5,3,4,Notification,Detailed,Weekly,4,3,3,3,5,5,I think AI recommendations could help me discover better study methods since I have been using the same approach since high school.
P064,22,Female,Sophomore,Business,3.47,3,Reading-Writing,6,3,7,4,Detailed,Simple,Before_Exams,3,3,3,5,5,6,I would appreciate a feature that breaks down large assignments into smaller tasks and helps me track completion over several weeks.
P065,18,Female,Junior,STEM,3.65,11,Visual,6,4,6,7,Detailed,Detailed,Weekly,4,5,2,3,4,3,An AI study tool should be transparent about how it makes predictions so I can trust its recommendations for my coursework.
P066,22,Female,Sophomore,Social Sciences,3.16,14,Reading-Writing,3,6,3,6,Visual,Moderate,Before_Exams,3,5,4,4,3,5,I want something that tracks my study habits over time and tells me what is actually working versus what is wasting my time.
P067,22,Female,Graduate,STEM,4.0,12,Reading-Writing,4,1,3,6,Detailed,Detailed,Weekly,4,4,4,2,5,4,I think AI recommendations could help me discover better study methods since I have been using the same approach since high school.
P068,20,Female,Senior,Business,3.56,6,Kinesthetic,4,5,6,6,Detailed,Detailed,Daily,4,5,4,4,5,5,The tool should help me identify which topics I struggle with the most and prioritize those in my study plan automatically.
P069,21,Male,Freshman,STEM,2.78,8,Kinesthetic,4,6,6,6,Notification,Moderate,Before_Exams,4,5,4,4,4,7,I want the tool to explain why it recommends certain study strategies so I can learn to make better decisions on my own over time.
P070,18,Female,Senior,Arts,3.36,35,Reading-Writing,4,3,6,6,Visual,Moderate,Daily,3,5,2,4,2,5,An AI study assistant should provide actionable feedback not just tell me my grade is low but explain specifically what I can improve.
P071,21,Female,Freshman,Social Sciences,3.2,14,Visual,4,3,2,5,Detailed,Moderate,Before_Exams,5,4,3,2,5,5,Having a study buddy matching feature powered by AI would be amazing so I can find classmates who complement my strengths and weaknesses.
P072,24,Female,Sophomore,Humanities,3.74,7,Visual,6,2,4,5,Visual,Simple,Weekly,4,4,2,5,4,2,It would be great to have a dashboard that shows my progress clearly with charts and motivational milestones to keep me on track.
P073,28,Male,Sophomore,Social Sciences,3.22,7,Visual,5,4,6,4,Detailed,Simple,Before_Exams,4,5,5,5,4,6,I would trust the AI more if it showed me the data behind its predictions and let me correct it when it gets something wrong.
P074,19,Female,Junior,STEM,2.87,3,Reading-Writing,5,5,4,4,Detailed,Moderate,Weekly,5,5,2,4,3,3,The most important feature for me would be accurate grade predictions so I know where I stand and can adjust my effort accordingly.
P075,22,Male,Graduate,Business,3.33,25,Visual,5,3,6,5,Visual,Detailed,Weekly,5,5,3,3,4,3,A weekly summary email showing my study patterns and upcoming tasks would be really helpful for staying organized throughout the semester.
P076,19,Male,Freshman,Social Sciences,2.99,29,Auditory,6,5,4,4,Notification,Moderate,Daily,2,4,3,4,4,5,I need something that adapts to my energy levels throughout the day and suggests the right type of studying for morning versus evening sessions.
P077,22,Female,Graduate,Arts,2.5,10,Visual,6,6,4,6,Detailed,Simple,Weekly,4,3,1,3,5,3,The tool should send me smart notifications before exams with targeted review suggestions instead of generic reminders that I will just ignore.
P078,21,Male,Senior,Arts,2.87,17,Auditory,6,5,3,5,Visual,Moderate,Weekly,3,4,1,5,3,6,It is important that the tool works offline too since I often study in places with unreliable internet connections on campus.
P079,24,Male,Graduate,Business,3.26,20,Kinesthetic,5,6,3,5,Summary,Simple,Daily,3,3,2,2,5,3,I think gamification elements like streaks and badges could make studying more engaging but they should not feel childish or forced.
P080,25,Male,Sophomore,STEM,2.98,30,Kinesthetic,6,4,3,7,Detailed,Detailed,Weekly,2,2,2,4,3,4,I think AI recommendations could help me discover better study methods since I have been using the same approach since high school.
P081,22,Female,Freshman,Arts,3.72,9,Reading-Writing,7,4,4,4,Detailed,Moderate,Before_Exams,5,4,4,4,4,6,I really need help with time management and would love an AI that can suggest optimal study schedules based on my upcoming deadlines.
P082,22,Female,Freshman,Business,2.67,34,Auditory,5,5,2,5,Detailed,Simple,Before_Exams,4,5,1,4,4,5,I would trust the AI more if it showed me the data behind its predictions and let me correct it when it gets something wrong.
P083,26,Male,Freshman,Business,2.89,22,Reading-Writing,4,2,6,5,Visual,Moderate,Before_Exams,5,4,3,3,4,3,A good study AI should recognize when I am burned out and suggest breaks or lighter study sessions instead of pushing me harder.
P084,23,Female,Freshman,Humanities,2.8,3,Reading-Writing,3,2,3,7,Summary,Simple,Weekly,5,2,4,2,3,6,A good study AI should recognize when I am burned out and suggest breaks or lighter study sessions instead of pushing me harder.
P085,27,Female,Freshman,STEM,3.27,10,Kinesthetic,4,3,4,4,Detailed,Moderate,Before_Exams,3,5,2,2,4,3,A weekly summary email showing my study patterns and upcoming tasks would be really helpful for staying organized throughout the semester.
P086,18,Female,Senior,Humanities,3.75,21,Reading-Writing,5,2,3,5,Visual,Moderate,Daily,4,3,3,4,5,6,I would love a study tool that helps me plan my week and gives me personalized suggestions based on my performance trends.
P087,27,Male,Senior,STEM,3.21,40,Visual,7,5,5,4,Notification,Moderate,Weekly,4,5,5,4,4,6,I want a tool that helps me balance academics with extracurriculars because I always end up sacrificing one for the other.
P088,20,Male,Freshman,Social Sciences,3.12,6,Auditory,4,4,4,6,Visual,Moderate,Weekly,4,4,3,5,5,5,I would appreciate a feature that breaks down large assignments into smaller tasks and helps me track completion over several weeks.
P089,19,Male,Junior,Business,3.7,4,Kinesthetic,7,3,5,6,Summary,Detailed,Daily,5,4,4,4,5,4,I want peer comparison features but only if they are anonymous because I do not want to feel judged by other students in my classes.
P090,22,Non-binary,Graduate,Humanities,4.0,13,Visual,5,1,4,3,Notification,Moderate,Daily,2,5,2,5,4,5,I really need help with time management and would love an AI that can suggest optimal study schedules based on my upcoming deadlines.
P091,19,Female,Junior,Social Sciences,3.36,1,Reading-Writing,4,2,6,5,Detailed,Moderate,Before_Exams,5,4,3,5,5,3,I want the tool to explain why it recommends certain study strategies so I can learn to make better decisions on my own over time.
P092,24,Prefer not to say,Junior,STEM,2.43,2,Visual,4,6,3,5,Detailed,Detailed,Before_Exams,4,5,3,4,4,6,I really need help with time management and would love an AI that can suggest optimal study schedules based on my upcoming deadlines.
P093,21,Non-binary,Freshman,STEM,2.7,18,Visual,5,6,1,6,Notification,Detailed,Weekly,4,2,2,2,5,3,I am concerned about data privacy but I would use an AI study tool if it gave me full control over what data is collected and stored.
P094,23,Male,Senior,Humanities,3.42,26,Kinesthetic,5,6,4,5,Summary,Moderate,Weekly,5,4,1,3,4,4,I want a tool that helps me balance academics with extracurriculars because I always end up sacrificing one for the other.
P095,19,Male,Sophomore,Business,3.35,23,Auditory,5,4,4,5,Detailed,Moderate,Weekly,5,4,2,5,4,5,An ideal study tool would integrate with my existing apps like Google Calendar and my university LMS to reduce the friction of using it.
P096,21,Female,Sophomore,STEM,2.35,10,Visual,5,2,3,6,Visual,Detailed,Daily,4,4,3,3,5,3,The tool should send me smart notifications before exams with targeted review suggestions instead of generic reminders that I will just ignore.
P097,22,Male,Freshman,Business,3.41,29,Visual,7,3,3,6,Detailed,Moderate,Before_Exams,5,5,4,3,3,6,A study AI should understand different learning styles and adapt its recommendations accordingly rather than giving generic advice to everyone.
P098,21,Male,Sophomore,STEM,3.46,40,Kinesthetic,6,5,4,3,Summary,Detailed,Before_Exams,4,5,3,3,4,4,The most important feature for me would be accurate grade predictions so I know where I stand and can adjust my effort accordingly.
P099,27,Male,Freshman,Humanities,2.66,13,Visual,5,7,4,5,Notification,Detailed,Weekly,5,4,2,3,2,4,I think AI recommendations could help me discover better study methods since I have been using the same approach since high school.
P100,24,Female,Sophomore,Humanities,3.86,14,Visual,3,5,5,4,Detailed,Moderate,Weekly,5,3,4,5,3,3,I need something that adapts to my energy levels throughout the day and suggests the right type of studying for morning versus evening sessions.
P101,23,Female,Freshman,STEM,3.27,29,Visual,5,4,3,5,Visual,Simple,Daily,2,5,2,4,3,6,It would be great to have a dashboard that shows my progress clearly with charts and motivational milestones to keep me on track.
P102,18,Prefer not to say,Senior,STEM,3.43,19,Reading-Writing,5,4,5,6,Detailed,Moderate,Daily,5,4,4,3,3,5,A study AI should understand different learning styles and adapt its recommendations accordingly rather than giving generic advice to everyone.
P103,23,Female,Graduate,Humanities,2.98,26,Kinesthetic,6,2,1,4,Detailed,Simple,Weekly,5,3,4,5,4,4,Having a study buddy matching feature powered by AI would be amazing so I can find classmates who complement my strengths and weaknesses.
P104,26,Female,Senior,STEM,3.89,12,Visual,5,2,4,5,Summary,Detailed,Weekly,5,3,3,3,4,4,An AI study tool should be transparent about how it makes predictions so I can trust its recommendations for my coursework.
P105,20,Male,Junior,Arts,4.0,6,Visual,3,3,1,5,Notification,Detailed,Daily,3,5,3,4,5,6,I want a tool that helps me balance academics with extracurriculars because I always end up sacrificing one for the other.
P106,21,Male,Sophomore,STEM,3.28,7,Visual,5,4,5,6,Visual,Detailed,Before_Exams,5,3,3,4,5,5,I am concerned about data privacy but I would use an AI study tool if it gave me full control over what data is collected and stored.
P107,18,Male,Junior,Social Sciences,3.81,4,Visual,5,2,7,4,Visual,Moderate,Never,2,5,3,4,3,5,I want the tool to explain why it recommends certain study strategies so I can learn to make better decisions on my own over time.
P108,18,Male,Graduate,Business,2.76,1,Kinesthetic,3,6,2,5,Detailed,Moderate,Daily,4,4,3,3,5,6,It is important that the tool works offline too since I often study in places with unreliable internet connections on campus.
P109,18,Male,Senior,Social Sciences,3.23,1,Reading-Writing,4,3,6,4,Visual,Detailed,Daily,4,3,2,4,4,5,I want something that tracks my study habits over time and tells me what is actually working versus what is wasting my time.
P110,22,Male,Senior,Humanities,2.83,22,Reading-Writing,4,4,2,5,Visual,Simple,Daily,5,4,4,4,4,5,I would appreciate a feature that breaks down large assignments into smaller tasks and helps me track completion over several weeks.
P111,22,Female,Sophomore,STEM,3.14,6,Auditory,7,3,3,5,Detailed,Moderate,Weekly,3,5,3,4,4,5,It is important that the tool works offline too since I often study in places with unreliable internet connections on campus.
P112,22,Male,Freshman,Social Sciences,2.84,13,Kinesthetic,4,2,5,4,Summary,Moderate,Daily,4,2,3,5,3,2,I would trust the AI more if it showed me the data behind its predictions and let me correct it when it gets something wrong.
P113,21,Female,Freshman,Business,3.09,11,Reading-Writing,4,3,2,6,Summary,Detailed,Daily,4,4,2,2,4,4,A good study AI should recognize when I am burned out and suggest breaks or lighter study sessions instead of pushing me harder.
P114,25,Male,Graduate,STEM,3.47,8,Kinesthetic,5,6,4,6,Detailed,Moderate,Daily,3,4,2,3,5,1,I want peer comparison features but only if they are anonymous because I do not want to feel judged by other students in my classes.
P115,18,Female,Freshman,STEM,2.55,5,Visual,4,5,2,4,Summary,Detailed,Weekly,3,5,3,4,5,5,Having a study buddy matching feature powered by AI would be amazing so I can find classmates who complement my strengths and weaknesses.
P116,22,Female,Graduate,Social Sciences,2.71,8,Reading-Writing,5,4,5,5,Visual,Simple,Weekly,4,3,3,3,3,4,I want something that tracks my study habits over time and tells me what is actually working versus what is wasting my time.
P117,24,Male,Senior,Social Sciences,3.05,9,Kinesthetic,5,3,3,5,Visual,Moderate,Before_Exams,3,4,2,3,4,6,An ideal study tool would integrate with my existing apps like Google Calendar and my university LMS to reduce the friction of using it.
P118,21,Female,Junior,STEM,3.45,25,Visual,5,5,3,3,Detailed,Detailed,Before_Exams,4,5,3,4,4,2,I would use a study tool daily if it had a clean simple interface that does not overwhelm me with too many options or data points.
P119,22,Female,Graduate,Social Sciences,3.91,4,Visual,6,4,3,5,Detailed,Detailed,Daily,2,3,3,4,3,4,A weekly summary email showing my study patterns and upcoming tasks would be really helpful for staying organized throughout the semester.
P120,20,Non-binary,Graduate,Social Sciences,3.06,2,Auditory,5,3,2,5,Summary,Detailed,Before_Exams,3,3,4,4,4,4,I need something that adapts to my energy levels throughout the day and suggests the right type of studying for morning versus evening sessions.
